,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
TRINITY_DN6514_c0_g1_i2,Pol,Fer,-10.1983534,2.56E-08,5.55E-06,GFT1_ARATH,down
TRINITY_DN7084_c0_g1_i1,Pol,Fer,-4.889581097,3.90E-08,7.95E-06,ERLL2_ARATH,down
TRINITY_DN1213_c0_g1_i1,Pol,Fer,-10.10959889,3.96E-08,7.98E-06,DRP3A_ARATH,down
TRINITY_DN9393_c0_g1_i1,Pol,Fer,-4.7220803,5.22E-08,1.03E-05,OFP4_ARATH,down
TRINITY_DN3227_c1_g1_i1,Pol,Fer,-4.564584537,5.75E-08,1.11E-05,Y1801_ARATH,down
TRINITY_DN5006_c0_g1_i2,Pol,Fer,-10.09296414,7.51E-08,1.39E-05,FKB42_ARATH,down
TRINITY_DN19151_c0_g1_i4,Pol,Fer,-4.608846749,8.01E-08,1.48E-05,PER42_ARATH,down
TRINITY_DN8276_c2_g1_i2,Pol,Fer,-3.932523743,9.63E-08,1.75E-05,LRKS2_ARATH,down
TRINITY_DN10493_c0_g1_i29,Pol,Fer,-10.46929077,1.09E-07,1.92E-05,NDL1_ARATH,down
TRINITY_DN12201_c0_g1_i8,Pol,Fer,-10.03909203,1.10E-07,1.92E-05,AB20B_ARATH,down
TRINITY_DN9131_c0_g1_i1,Pol,Fer,-7.539647032,1.19E-07,2.05E-05,U85A2_ARATH,down
TRINITY_DN2629_c0_g1_i5,Pol,Fer,-9.982101908,1.39E-07,2.32E-05,TAF7_ARATH,down
TRINITY_DN4224_c0_g1_i1,Pol,Fer,-3.496139393,1.44E-07,2.37E-05,PLC_LISMO,down
TRINITY_DN12576_c0_g1_i7,Pol,Fer,-13.05862799,1.65E-07,2.59E-05,GATA5_ARATH,down
TRINITY_DN22944_c0_g1_i1,Pol,Fer,-7.843445178,1.65E-07,2.59E-05,PER55_ARATH,down
TRINITY_DN9798_c0_g1_i4,Pol,Fer,-10.05561164,1.70E-07,2.65E-05,TIP32_MAIZE,down
TRINITY_DN3424_c0_g1_i7,Pol,Fer,-10.6157995,2.00E-07,3.05E-05,B3GT7_ARATH,down
TRINITY_DN10333_c0_g1_i1,Pol,Fer,-3.006932081,2.72E-07,3.93E-05,MTND1_VITVI,down
TRINITY_DN3_c0_g1_i1,Pol,Fer,-4.567467457,2.79E-07,4.00E-05,NAMB1_HORVS,down
TRINITY_DN4303_c0_g1_i1,Pol,Fer,-3.561347749,3.41E-07,4.81E-05,DIOX5_ARATH,down
TRINITY_DN11730_c0_g1_i5,Pol,Fer,-9.640479663,3.52E-07,4.94E-05,DIOX5_ARATH,down
TRINITY_DN158_c0_g1_i4,Pol,Fer,-3.350472137,3.61E-07,5.00E-05,ICIW_WHEAT,down
TRINITY_DN39478_c0_g1_i1,Pol,Fer,-10.40872122,3.64E-07,5.01E-05,C86B1_ARATH,down
TRINITY_DN1131_c0_g1_i2,Pol,Fer,-9.589422419,4.41E-07,5.92E-05,ACOX1_ARATH,down
TRINITY_DN11739_c0_g1_i2,Pol,Fer,-3.937564693,4.46E-07,5.93E-05,NOMT_NARAP,down
TRINITY_DN10276_c0_g1_i14,Pol,Fer,-9.987579452,4.47E-07,5.93E-05,APC2_ARATH,down
TRINITY_DN9173_c0_g1_i1,Pol,Fer,-7.043315335,4.75E-07,6.23E-05,TRNHF_ARATH,down
TRINITY_DN1825_c0_g2_i2,Pol,Fer,-9.528300444,5.72E-07,7.23E-05,PBL19_ARATH,down
TRINITY_DN23032_c0_g1_i6,Pol,Fer,-9.498385648,7.06E-07,8.68E-05,BRG1_ARATH,down
TRINITY_DN922_c0_g1_i1,Pol,Fer,-4.105634655,8.67E-07,0.000103983,PR1_ASPOF,down
TRINITY_DN16347_c0_g1_i1,Pol,Fer,-3.215104902,8.92E-07,0.000106187,TBB1_WHEAT,down
TRINITY_DN8667_c0_g2_i5,Pol,Fer,-9.433783551,9.22E-07,0.000108729,CDKE1_ORYSJ,down
TRINITY_DN13_c0_g1_i13,Pol,Fer,-10.07689739,9.48E-07,0.000111298,DEK_HUMAN,down
TRINITY_DN1612_c2_g1_i1,Pol,Fer,-6.158584497,9.59E-07,0.000111987,E13F_HORVU,down
TRINITY_DN472_c1_g1_i3,Pol,Fer,-4.152046282,1.08E-06,0.000121378,TBB2_ELEIN,down
TRINITY_DN3130_c0_g1_i3,Pol,Fer,-4.598348523,1.15E-06,0.000127377,STAD_ELAGV,down
TRINITY_DN9939_c0_g1_i14,Pol,Fer,-9.410661592,1.34E-06,0.00014383,ILL7_ORYSJ,down
TRINITY_DN1664_c0_g1_i22,Pol,Fer,-9.378138483,1.37E-06,0.000145329,AMO2_ARTS1,down
TRINITY_DN9450_c0_g1_i1,Pol,Fer,-9.694129979,1.39E-06,0.000146991,GDL34_ARATH,down
TRINITY_DN9848_c0_g1_i4,Pol,Fer,-9.595841838,1.53E-06,0.000158669,CCX1_ARATH,down
TRINITY_DN22944_c0_g1_i3,Pol,Fer,-5.510080233,1.68E-06,0.000168187,PER55_ARATH,down
TRINITY_DN5204_c0_g1_i3,Pol,Fer,-9.450494483,1.78E-06,0.000177204,BEL1_ARATH,down
TRINITY_DN4553_c0_g1_i4,Pol,Fer,-9.819987891,1.91E-06,0.000185982,TIC_ARATH,down
TRINITY_DN12026_c0_g1_i1,Pol,Fer,-6.976421904,1.92E-06,0.000186483,NAC22_ARATH,down
TRINITY_DN8247_c0_g1_i5,Pol,Fer,-9.263184465,2.11E-06,0.000200558,RUMI_CULQU,down
TRINITY_DN6142_c0_g1_i1,Pol,Fer,-9.257023472,2.42E-06,0.000224189,VPS29_ARATH,down
TRINITY_DN10854_c0_g1_i1,Pol,Fer,-4.585291951,2.61E-06,0.000238388,ODO1_PETHY,down
TRINITY_DN7580_c0_g1_i8,Pol,Fer,-9.426204659,2.75E-06,0.000248593,ARFV_ORYSJ,down
TRINITY_DN1687_c0_g1_i3,Pol,Fer,-6.262859409,2.75E-06,0.000248593,CHS2_SORBI,down
TRINITY_DN12598_c0_g1_i2,Pol,Fer,-9.21478022,2.81E-06,0.00025247,ODPA3_ORYSJ,down
TRINITY_DN35255_c0_g1_i1,Pol,Fer,-3.346094749,2.86E-06,0.000256064,ATPAM_ORYSJ,down
TRINITY_DN11974_c0_g1_i8,Pol,Fer,-10.42761063,3.03E-06,0.000267974,MDAR3_ORYSJ,down
TRINITY_DN7077_c0_g1_i1,Pol,Fer,-3.031932284,3.28E-06,0.000284503,CML29_ORYSJ,down
TRINITY_DN506_c1_g2_i8,Pol,Fer,-3.0977322,3.44E-06,0.000294541,ACT_GOSHI,down
TRINITY_DN594_c0_g1_i7,Pol,Fer,-3.318714246,3.60E-06,0.000305373,UBP1C_ARATH,down
TRINITY_DN10192_c0_g1_i1,Pol,Fer,-3.809998374,3.62E-06,0.000306256,HIP36_ARATH,down
TRINITY_DN3429_c0_g1_i7,Pol,Fer,-9.951917724,3.65E-06,0.000307933,PP436_ARATH,down
TRINITY_DN17587_c0_g1_i5,Pol,Fer,-3.366819332,3.82E-06,0.000320096,C7D55_HYOMU,down
TRINITY_DN12202_c0_g1_i4,Pol,Fer,-9.158081472,3.87E-06,0.000321765,RL222_ARATH,down
TRINITY_DN12495_c0_g1_i2,Pol,Fer,-3.98275101,3.87E-06,0.000321765,MIZ1_ARATH,down
TRINITY_DN2145_c0_g1_i9,Pol,Fer,-9.171907893,4.33E-06,0.000346229,CKL2_ARATH,down
TRINITY_DN11133_c0_g1_i2,Pol,Fer,-9.873438475,4.61E-06,0.000361925,HNRH2_PONAB,down
TRINITY_DN9004_c0_g1_i16,Pol,Fer,-5.219344233,4.71E-06,0.000367162,MYB60_VITVI,down
TRINITY_DN13618_c0_g1_i1,Pol,Fer,-3.157701284,4.81E-06,0.000371636,C89A2_ARATH,down
TRINITY_DN922_c0_g1_i4,Pol,Fer,-2.793733904,5.01E-06,0.000385042,PR1_ASPOF,down
TRINITY_DN10009_c0_g1_i76,Pol,Fer,-10.30999921,5.21E-06,0.000398912,CESA9_ORYSJ,down
TRINITY_DN11414_c0_g1_i7,Pol,Fer,-9.419032775,5.42E-06,0.000410179,YD52_SCHPO,down
TRINITY_DN1377_c0_g1_i5,Pol,Fer,-9.089688967,5.65E-06,0.000422634,FER3_MAIZE,down
TRINITY_DN1523_c0_g1_i4,Pol,Fer,-3.315085439,5.77E-06,0.000429494,GDL6_ARATH,down
TRINITY_DN3581_c0_g1_i2,Pol,Fer,-9.125591645,5.92E-06,0.000439194,ADT_ORYSJ,down
TRINITY_DN3120_c0_g1_i59,Pol,Fer,-9.093557799,6.04E-06,0.000445299,AFC2_ARATH,down
TRINITY_DN12127_c0_g1_i1,Pol,Fer,-9.08414694,6.44E-06,0.000466043,ATL51_ARATH,down
TRINITY_DN880_c0_g5_i1,Pol,Fer,-3.865964351,6.45E-06,0.000466043,CYB_ARATH,down
TRINITY_DN35621_c0_g1_i1,Pol,Fer,-8.064429886,6.47E-06,0.000466043,THT2_ORYSJ,down
TRINITY_DN295_c0_g1_i3,Pol,Fer,-10.50185372,6.50E-06,0.000467409,C75B3_ORYSJ,down
TRINITY_DN5321_c0_g1_i1,Pol,Fer,-9.062961971,6.51E-06,0.000467409,Y3589_ARATH,down
TRINITY_DN11933_c0_g1_i2,Pol,Fer,-9.030312817,6.75E-06,0.000481625,HAC1_ARATH,down
TRINITY_DN1377_c0_g1_i2,Pol,Fer,-9.008722899,7.21E-06,0.000506952,FER3_MAIZE,down
TRINITY_DN8330_c0_g1_i1,Pol,Fer,-6.216710143,8.52E-06,0.000579552,C78A5_ARATH,down
TRINITY_DN6535_c0_g1_i5,Pol,Fer,-9.505901148,1.02E-05,0.000666896,IDHC_TOBAC,down
TRINITY_DN12382_c0_g1_i2,Pol,Fer,-6.105214263,1.04E-05,0.00067771,DMP6_ARATH,down
TRINITY_DN10985_c0_g1_i1,Pol,Fer,-3.817537937,1.13E-05,0.000726729,PIL13_ORYSJ,down
TRINITY_DN10758_c0_g1_i8,Pol,Fer,-8.927545073,1.18E-05,0.000748632,SMC6B_ARATH,down
TRINITY_DN14902_c0_g1_i1,Pol,Fer,-5.528215809,1.20E-05,0.000756631,GPAT3_ARATH,down
TRINITY_DN7090_c0_g1_i2,Pol,Fer,-5.690276465,1.22E-05,0.000761245,ASIL2_ARATH,down
TRINITY_DN6096_c0_g1_i154,Pol,Fer,-8.904840106,1.25E-05,0.000775827,EDL16_ARATH,down
TRINITY_DN3356_c0_g1_i8,Pol,Fer,-9.089458183,1.25E-05,0.000775827,DOF37_ARATH,down
TRINITY_DN9584_c0_g2_i11,Pol,Fer,-9.649314597,1.26E-05,0.000778647,C734A_ARATH,down
TRINITY_DN8903_c0_g1_i3,Pol,Fer,-6.391896919,1.36E-05,0.000817821,NAC98_ARATH,down
TRINITY_DN27461_c0_g1_i1,Pol,Fer,-3.977912986,1.37E-05,0.000820135,TRE_ORYSJ,down
TRINITY_DN2527_c0_g1_i2,Pol,Fer,-6.582828804,1.38E-05,0.000821864,ICIS_VICFA,down
TRINITY_DN15705_c0_g2_i1,Pol,Fer,-6.440289672,1.40E-05,0.000831243,OBP2B_MAIZE,down
TRINITY_DN5027_c0_g1_i1,Pol,Fer,-6.340905806,1.41E-05,0.000831243,REHY_HORVU,down
TRINITY_DN5430_c0_g1_i6,Pol,Fer,-4.777678982,1.42E-05,0.00083489,SDI1_ARATH,down
TRINITY_DN3171_c0_g1_i1,Pol,Fer,-9.356012905,1.43E-05,0.000835198,SODC3_ARATH,down
TRINITY_DN22447_c0_g1_i13,Pol,Fer,-9.089467243,1.45E-05,0.000844856,NAGS2_ARATH,down
TRINITY_DN1171_c0_g1_i2,Pol,Fer,-9.118940911,1.54E-05,0.000877821,BGA15_ORYSJ,down
TRINITY_DN8963_c0_g1_i8,Pol,Fer,-8.97456769,1.55E-05,0.00087797,TO401_ARATH,down
TRINITY_DN922_c0_g1_i2,Pol,Fer,-3.40317083,1.57E-05,0.000890117,PR1_ASPOF,down
TRINITY_DN3432_c0_g1_i14,Pol,Fer,-9.000661996,1.58E-05,0.000895265,CAAT2_ARATH,down
TRINITY_DN11139_c0_g1_i14,Pol,Fer,-9.076732432,1.77E-05,0.000977296,WDR5B_ARATH,down
TRINITY_DN3953_c1_g1_i1,Pol,Fer,-4.525228358,1.83E-05,0.001001163,CAPPC_FLATR,down
TRINITY_DN11873_c0_g1_i4,Pol,Fer,-5.137833381,1.86E-05,0.001014206,RFS6_ARATH,down
TRINITY_DN546_c0_g1_i2,Pol,Fer,-2.964129437,1.92E-05,0.001037938,XTH32_ARATH,down
TRINITY_DN2644_c0_g1_i13,Pol,Fer,-8.782090872,2.05E-05,0.001084424,CSN5_ORYSJ,down
TRINITY_DN9287_c0_g1_i1,Pol,Fer,-3.784967266,2.08E-05,0.001098352,GH31_ARATH,down
TRINITY_DN5444_c0_g1_i8,Pol,Fer,-8.790157387,2.31E-05,0.001190307,LEU1A_SOLPN,down
TRINITY_DN10728_c0_g1_i6,Pol,Fer,-8.75193282,2.42E-05,0.001234184,FPA_ARATH,down
TRINITY_DN2594_c0_g1_i10,Pol,Fer,-8.781284739,2.46E-05,0.001253676,ACOT8_MOUSE,down
TRINITY_DN5260_c0_g1_i1,Pol,Fer,-8.967341076,2.54E-05,0.001284844,LTRA_LACLM,down
TRINITY_DN1444_c1_g1_i4,Pol,Fer,-9.147131237,2.57E-05,0.001290998,C71BE_SINHE,down
TRINITY_DN6635_c0_g1_i8,Pol,Fer,-8.739985475,2.57E-05,0.001290998,B120_ARATH,down
TRINITY_DN7047_c0_g1_i1,Pol,Fer,-3.684273075,2.57E-05,0.001290998,LSH6_ARATH,down
TRINITY_DN5731_c0_g1_i7,Pol,Fer,-9.385574064,2.80E-05,0.001371888,MEM11_ARATH,down
TRINITY_DN9939_c0_g1_i6,Pol,Fer,-7.766984512,2.82E-05,0.001375746,ILL3_ORYSJ,down
TRINITY_DN12625_c0_g1_i3,Pol,Fer,-8.814094295,2.87E-05,0.001398685,NFYB3_ARATH,down
TRINITY_DN1697_c0_g1_i38,Pol,Fer,-8.881900732,2.88E-05,0.001398685,LOGL2_ORYSJ,down
TRINITY_DN4548_c0_g1_i7,Pol,Fer,-8.748116588,2.91E-05,0.001413117,SR54C_ARATH,down
TRINITY_DN1558_c1_g1_i1,Pol,Fer,-3.347696469,2.99E-05,0.001444409,4CLLA_ARATH,down
TRINITY_DN8653_c0_g1_i1,Pol,Fer,-8.766451967,3.49E-05,0.001639991,CSK_ARATH,down
TRINITY_DN2235_c0_g2_i1,Pol,Fer,-3.592900586,3.60E-05,0.001678945,TOLB_PELCD,down
TRINITY_DN11739_c0_g1_i7,Pol,Fer,-6.010380627,3.65E-05,0.001689578,FAOMT_VITVI,down
TRINITY_DN8811_c0_g1_i2,Pol,Fer,-2.801368352,3.65E-05,0.001689578,MYB86_ARATH,down
TRINITY_DN5524_c0_g1_i6,Pol,Fer,-3.31080776,3.66E-05,0.001693002,PAS1_ARATH,down
TRINITY_DN19487_c0_g1_i12,Pol,Fer,-8.819338534,3.76E-05,0.00172606,YTX2_XENLA,down
TRINITY_DN10670_c0_g1_i1,Pol,Fer,-8.497522876,3.84E-05,0.001755849,PLAO1_PLAOI,down
TRINITY_DN11162_c0_g1_i3,Pol,Fer,-8.858103516,3.92E-05,0.001779416,ARL8C_ARATH,down
TRINITY_DN355_c0_g1_i2,Pol,Fer,-2.597680918,3.97E-05,0.001801526,CIPK6_ORYSJ,down
TRINITY_DN7565_c0_g1_i2,Pol,Fer,-8.744909289,4.06E-05,0.001830789,NAA15_ARATH,down
TRINITY_DN8917_c0_g1_i7,Pol,Fer,-5.00680751,4.41E-05,0.001963163,ACHE_MAIZE,down
TRINITY_DN10544_c0_g1_i1,Pol,Fer,-8.671758569,4.49E-05,0.001993757,SUFE1_ARATH,down
TRINITY_DN9575_c0_g1_i7,Pol,Fer,-9.266462277,4.81E-05,0.002120348,ADHL3_ARATH,down
TRINITY_DN1311_c0_g1_i16,Pol,Fer,-3.0584902,4.88E-05,0.002138136,BZP44_ARATH,down
TRINITY_DN6088_c0_g1_i1,Pol,Fer,-3.291565746,4.95E-05,0.002145227,BKI1_ARATH,down
TRINITY_DN11259_c0_g2_i1,Pol,Fer,-2.820512118,5.24E-05,0.00223437,ACT2_ORYSJ,down
TRINITY_DN4020_c0_g1_i1,Pol,Fer,-3.414905578,5.29E-05,0.002249274,HAT22_ARATH,down
TRINITY_DN4020_c0_g2_i1,Pol,Fer,-6.640452213,5.42E-05,0.002282435,HOX11_ORYSI,down
TRINITY_DN5571_c0_g1_i1,Pol,Fer,-3.387651862,5.43E-05,0.002283162,BAG1_ARATH,down
TRINITY_DN17628_c0_g1_i4,Pol,Fer,-8.557981147,5.79E-05,0.002391146,Y6689_DICDI,down
TRINITY_DN9675_c0_g1_i20,Pol,Fer,-8.765191714,6.05E-05,0.002475471,PAE5_ARATH,down
TRINITY_DN5321_c0_g1_i3,Pol,Fer,-8.578249361,6.07E-05,0.002479847,Y3589_ARATH,down
TRINITY_DN4699_c0_g1_i2,Pol,Fer,-8.546059895,6.14E-05,0.002502269,ABP4_MAIZE,down
TRINITY_DN13619_c0_g1_i27,Pol,Fer,-8.544303771,6.20E-05,0.002517702,UBC16_ARATH,down
TRINITY_DN1733_c0_g1_i1,Pol,Fer,-8.678256347,6.57E-05,0.002627106,CUT1B_ARATH,down
TRINITY_DN15373_c0_g2_i1,Pol,Fer,-6.710079844,6.61E-05,0.002635001,CXE2_ARATH,down
TRINITY_DN5027_c0_g1_i4,Pol,Fer,-9.48050069,6.71E-05,0.002662402,REHY_HORVU,down
TRINITY_DN4282_c0_g1_i7,Pol,Fer,-2.686780608,6.71E-05,0.002662402,PFPA_RICCO,down
TRINITY_DN14164_c0_g1_i3,Pol,Fer,-8.99221946,7.04E-05,0.002767119,POF21_ARATH,down
TRINITY_DN9691_c0_g2_i1,Pol,Fer,-4.050040847,7.05E-05,0.002768237,NAP2_SOLLC,down
TRINITY_DN9860_c0_g1_i5,Pol,Fer,-8.959190799,7.25E-05,0.002823173,SCP3_ARATH,down
TRINITY_DN1330_c0_g1_i1,Pol,Fer,-8.799956432,7.31E-05,0.002837045,ANL2_ARATH,down
TRINITY_DN6491_c0_g1_i39,Pol,Fer,-8.861922179,7.49E-05,0.002881502,Y1342_ARATH,down
TRINITY_DN13506_c0_g1_i1,Pol,Fer,-3.448408639,7.52E-05,0.002890567,OBP1A_MAIZE,down
TRINITY_DN4517_c0_g1_i10,Pol,Fer,-8.509578338,7.61E-05,0.002910138,CHL_ARATH,down
TRINITY_DN9809_c0_g1_i3,Pol,Fer,-8.660365658,7.97E-05,0.00300289,PTR9_ARATH,down
TRINITY_DN1143_c0_g1_i3,Pol,Fer,-2.392747632,7.97E-05,0.00300289,FLZ14_ARATH,down
TRINITY_DN10187_c0_g2_i1,Pol,Fer,-7.2813379,8.24E-05,0.003073575,ZAT12_ARATH,down
TRINITY_DN7009_c0_g1_i2,Pol,Fer,-3.023818352,8.42E-05,0.003131952,BAM9_ARATH,down
TRINITY_DN7370_c0_g1_i4,Pol,Fer,-8.531288923,8.75E-05,0.003233349,APSR1_ARATH,down
TRINITY_DN5162_c0_g1_i6,Pol,Fer,-3.83849348,9.07E-05,0.003330979,CSE_ARATH,down
TRINITY_DN1556_c0_g1_i7,Pol,Fer,-8.46944543,9.18E-05,0.003363187,BP131_ORYSJ,down
TRINITY_DN9045_c0_g1_i6,Pol,Fer,-3.528099304,9.33E-05,0.003400647,WNK5_ARATH,down
TRINITY_DN10980_c0_g1_i1,Pol,Fer,-7.694404471,9.34E-05,0.003400647,RB12B_HUMAN,down
TRINITY_DN2668_c0_g1_i3,Pol,Fer,-4.065557272,9.71E-05,0.003504084,CADH1_ARACO,down
TRINITY_DN20762_c0_g2_i3,Pol,Fer,-2.856538612,9.93E-05,0.00356017,COX1_RAPSA,down
